Card,ASP $,Price/Hr Spot,Price/Hr OnDemand,Type,PCIe,NVIDIA CUDA Cores,Boost Clock (GHz),Base Clock (GHz),Standard Memory Config,Memory Interface Width,Idle Power (W),Power (W),FP32 TFLOPS (spec sheet),FP32 TFLOPS (Calc),TFLOPS per W,$ per TFLOP
RTX 4070 SUPER,600.00,0.15,0.25,Consumer,PCIe 4.0 x16,7168,2.475,1.98,12 GB GDDR6X,192-bit,12,220,36,35.48,0.16,16.91
RTX 4070 Ti SUPER,700.00,0.15,0.25,Consumer,PCIe 4.0 x16,8448,2.61,2.34,16 GB GDDR6X,256-bit,12,285,44,44.1,0.15,15.87
RTX 4080 SUPER,1000.00,,0.35,Consumer,PCIe 4.0 x16,10240,2.505,2.205,16 GB GDDR6X,256-bit,13,320,52,51.3,0.16,19.49
RTX 4090,1700.00,0.39,0.54,Consumer,PCIe 4.0 x16,16384,2.52,2.23,24 GB GDDR6X,384-bit,19,450,,82.58,0.18,20.59
RTX 4080,1200.00,,0.35,Consumer,PCIe 4.0 x16,9728,2.51,2.21,16 GB GDDR6X,256-bit,13,320,48.74,48.83,0.15,24.57
RTX 4070 Ti,800.00,0.15,0.25,Consumer,PCIe 4.0 x16,7680,2.61,2.31,12 GB GDDR6X,192-bit,12,285,,40.09,0.14,19.96
RTX 4070,550.00,0.15,0.25,Consumer,PCIe 4.0 x16,5888,2.48,1.92,12 GB GDDR6X,192-bit,10,200,,29.2,0.15,18.83
RTX 4060 Ti,500.00,,,Consumer,PCIe 4.0 x8,4352,2.54,2.31,16 GB GDDR6 or 8 GB GDDR6,128-bit,7,165,,22.11,0.13,22.62
RTX 4060,400.00,,,Consumer,PCIe 4.0 x8,3072,2.46,1.83,8 GB GDDR6,128-bit,7,115,,15.11,0.13,26.47
RTX 3090 Ti,900.00,,0.26,Consumer,PCIe 4.0 x16,10752,1.86,1.56,24 GB GDDR6X,384-bit,20,450,,40,0.09,22.50
RTX 3090,750.00,0.19,0.26,Consumer,PCIe 4.0 x16,10496,1.7,1.4,24 GB GDDR6X,384-bit,20,350,,35.69,0.1,21.02
RTX 3080 Ti,500.00,0.15,0.19,Consumer,PCIe 4.0 x16,10240,1.67,1.37,12 GB GDDR6X,384-bit,20,350,,34.2,0.1,14.62
RTX 3080,450.00,0.15,0.18,Consumer,PCIe 4.0 x16,8960,1.71,1.26,12 GB GDDR6X / 10 GB GDDR6X,384-bit / 320-bit,20,350,,30.64,0.09,14.69
RTX 3070 Ti,400.00,,0.14,Consumer,PCIe 4.0 x16,6144,1.77,1.58,8 GB GDDR6X,256-bit,20,290,,21.75,0.07,18.39
RTX 3070,300.00,,0.14,Consumer,PCIe 4.0 x16,5888,1.73,1.5,8 GB GDDR6,256-bit,20,220,,20.37,0.09,14.73
RTX 3060 Ti,250.00,,,Consumer,PCIe 4.0 x16,4864,1.67,1.41,8 GB GDDR6 / 8 GB GDDR6X,256-bit,20,200,,16.25,0.08,15.39
RTX 3060,200.00,,,Consumer,PCIe 4.0 x16,3584,1.78,1.32,12 GB GDDR6 / 8 GB GDDR6,192-bit / 128-bit,20,170,,12.76,0.08,15.68
RTX 3050,150.00,,,Consumer,PCIe 4.0 x16,2560,1.78,1.55,8 GB GDDR6,128-bit,20,130,,9.11,0.07,16.46
H100 SXM,25000.00,2.49,3.89,Data Center,PCIe 5.0 x16,14592,2,1.09,80GB HMB3,HMB3,50,700,67,58.37,0.08,428.32
H100 PCIe,27000.00,2.49,3.39,Data Center,PCIe 5.0 x16,14592,1.755,1.09,80GB HMB2e,HMB2e,50,350,51,51.22,0.15,878.60
L4,3300.00,,,Data Center,PCIe 4.0 x16,7680,2.04,0.795,24GB,,20,72,30.3,31.33,0.44,105.32
L40S,12000.00,0.59,1.09,Data Center,PCIe 4.0 x16,18176,2.52,1.11,48GB GDDR6 with ECC,384-bit,20,350,91.6,91.61,0.26,130.99
A100,8000.00,0.89,1.59,Data Center,PCIe 4.0 x16,6912,1.41,0.765,40GB HMB2e,HMB2e,50,350,19.5,19.49,0.06,410.43
A40,6000.00,0.34,0.67,Data Center,PCIe 4.0 x16,10752,1.74,1.305,48GB GDDR6 with ECC,384-bit,50,300,37.42,37.42,0.12,160.36
RTX 6000 Ada,6350.00,0.69,0.99,Workstation,PCIe 4.0 x16,18176,2.535,2.175,48 GB of GDDR6,384-bit,20,300,91.1,92.15,0.31,68.91
RTX 5000 Ada,3700.00,,,Workstation,PCIe 4.0 x16,12800,2.55,1.155,32GB GDDR6,256-bit,20,250,65.28,65.28,0.26,56.68
RTX A6000,3200.00,0.34,0.69,Workstation,PCIe 4.0 x16,10752,1.8,1.41,48 GB of GDDR6,384-bit,20,300,38.71,38.71,0.13,82.67
RTX A5000,1000.00,0.19,0.26,Workstation,PCIe 4.0 x16,8192,1.695,1.17,24GB GDDR6,384-bit,20,230,27.8,27.77,0.12,36.01
RTX 4000 Ada,1250.00,0.15,0.21,Workstation,PCIe 4.0 x16,6144,2.175,1.5,20GB GDDR6,160-bit,10,130,26.7,26.73,0.21,46.77
RTX 4000 SFF Ada,1250.00,0.15,0.21,Workstation,PCIe 4.0 x16,6144,1.56,0.72,20GB GDDR6,160-bit,10,70,19.2,19.17,0.27,65.21
RTX A4000,700.00,0.15,0.19,Workstation,PCIe 4.0 x16,6144,1.75,0.735,16GB GDDR6,256-bit,20,140,19.2,21.5,0.15,32.55
RTX A2000,370.00,,0.14,Workstation,PCIe 4.0 x16,3328,1.2,0.562,6GB GDDR6,192-bit,20,70,,7.99,0.11,46.32
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
